header,sub,item,unit,description
303,24,0,KGM,"--Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
303,25,0,KGM,"--Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
303,26,0,KGM,--Eels (Anguilla spp.)
303,29,0,KGM,--Other
303,31,0,KGM,"--Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
303,32,0,KGM,--Plaice (Pleuronectes platessa)
303,33,0,KGM,--Sole (Solea spp.)
303,34,0,KGM,--Turbots (Psetta maxima)
303,39,0,KGM,--Other
303,41,0,KGM,--Albacore or longfinned tunas (Thunnus alalunga)
303,42,0,KGM,--Yellowfin tunas (Thunnus albacares)
303,43,0,KGM,--Skipjack or stripe-bellied bonito
303,44,0,KGM,--Bigeye tunas (Thunnus obesus)
303,45,0,KGM,"--Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
303,46,0,KGM,--Southern bluefin tunas (Thunnus maccoyii)
303,49,0,KGM,--Other
303,51,0,KGM,"--Herrings (Clupea harengus, Clupea pallasii)"
303,53,0,KGM,"--Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
303,54,0,KGM,"--Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
303,55,0,KGM,--Jack and horse mackerel (Trachurus spp.)
303,56,0,KGM,--Cobia (Rachycentron canadum)
303,57,0,KGM,--Swordfish (Xiphias gladius)
303,63,0,KGM,"--Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
303,64,0,KGM,--Haddock (Melanogrammus aeglefinus)
303,65,0,KGM,--Coalfish (Pollachius virens)
303,66,0,KGM,"--Hake (Merluccius spp., Urophycis spp.)"
303,67,0,KGM,--Alaska Pollack (Theragra chalcogramma)
303,68,0,KGM,"--Blue whitings (Micromesistius poutassou, Micromesistius australis)"
303,69,0,KGM,--Other
303,81,0,KGM,--Dogfish and other sharks
303,82,0,KGM,--Rays and skates (Rajidae)
303,83,0,KGM,--Toothfish (Dissostichus spp.)
303,84,0,KGM,--Seabass (Dicentrarchus spp.)
303,89,0,KGM,--Other
303,90,0,KGM,-Livers and roes
304,31,0,KGM,--Tilapias (Oreochromis spp.)
304,32,0,KGM,"--Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
